"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","256","GET /products/:id responde en < 500ms","Products API Tests","Thu Jun 18 03:12:12 UTC 2026","passed","Thu Jun 18 03:12:12 UTC 2026","com.alan.qa.tests.PerformanceTests","API Tests","com.alan.qa.tests.PerformanceTests","testGetProductByIdResponseTime"
"","309","Actualizar stock a negativo (debe fallar)","Products API Tests","Thu Jun 18 03:12:10 UTC 2026","passed","Thu Jun 18 03:12:11 UTC 2026","com.alan.qa.tests.ValidationTests","API Tests","com.alan.qa.tests.ValidationTests","testUpdateProductToNegativeStock"
"Obtener un producto específico por su ID","344","Obtener producto por ID","Products API Tests","Thu Jun 18 03:12:06 UTC 2026","passed","Thu Jun 18 03:12:07 UTC 2026","com.alan.qa.tests.ProductTests","API Tests","com.alan.qa.tests.ProductTests","testGetProductById"
"Eliminar un producto existente de la base de datos","322","Eliminar producto","Products API Tests","Thu Jun 18 03:12:08 UTC 2026","passed","Thu Jun 18 03:12:09 UTC 2026","com.alan.qa.tests.ProductDeleteTests","API Tests","com.alan.qa.tests.ProductDeleteTests","testDeleteProduct"
"Validar que producto inexistente devuelve 404","203","Producto no existe (404)","Products API Tests","Thu Jun 18 03:12:06 UTC 2026","passed","Thu Jun 18 03:12:06 UTC 2026","com.alan.qa.tests.ProductTests","API Tests","com.alan.qa.tests.ProductTests","testGetNonExistentProduct"
"","116","Category vacío rechazado","Products API Tests","Thu Jun 18 03:12:09 UTC 2026","passed","Thu Jun 18 03:12:09 UTC 2026","com.alan.qa.tests.ValidationTests","API Tests","com.alan.qa.tests.ValidationTests","testCreateProductWithEmptyCategory"
"","122","Crear producto sin category (debe fallar)","Products API Tests","Thu Jun 18 03:12:10 UTC 2026","passed","Thu Jun 18 03:12:10 UTC 2026","com.alan.qa.tests.ValidationTests","API Tests","com.alan.qa.tests.ValidationTests","testCreateProductWithoutCategory"
"Validar que crear producto sin token es rechazado (seguridad)","116","Crear producto sin token (debe fallar)","Products API Tests","Thu Jun 18 03:12:07 UTC 2026","passed","Thu Jun 18 03:12:07 UTC 2026","com.alan.qa.tests.ProductCreateTests","API Tests","com.alan.qa.tests.ProductCreateTests","testCreateProductWithoutToken"
"","118","Precio negativo rechazado","Products API Tests","Thu Jun 18 03:12:09 UTC 2026","passed","Thu Jun 18 03:12:09 UTC 2026","com.alan.qa.tests.ValidationTests","API Tests","com.alan.qa.tests.ValidationTests","testCreateProductWithNegativePrice"
"","125","Título vacío rechazado","Products API Tests","Thu Jun 18 03:12:09 UTC 2026","passed","Thu Jun 18 03:12:09 UTC 2026","com.alan.qa.tests.ValidationTests","API Tests","com.alan.qa.tests.ValidationTests","testCreateProductWithEmptyTitle"
"Validar estructura completa y tipos de datos del producto","274","Validar estructura de producto","Products API Tests","Thu Jun 18 03:12:07 UTC 2026","passed","Thu Jun 18 03:12:07 UTC 2026","com.alan.qa.tests.ProductTests","API Tests","com.alan.qa.tests.ProductTests","testProductStructure"
"","124","Precio cero rechazado","Products API Tests","Thu Jun 18 03:12:10 UTC 2026","passed","Thu Jun 18 03:12:10 UTC 2026","com.alan.qa.tests.ValidationTests","API Tests","com.alan.qa.tests.ValidationTests","testCreateProductWithZeroPrice"
"","527","POST /auth/login responde en < 500ms","Products API Tests","Thu Jun 18 03:12:13 UTC 2026","passed","Thu Jun 18 03:12:14 UTC 2026","com.alan.qa.tests.PerformanceTests","API Tests","com.alan.qa.tests.PerformanceTests","testLoginResponseTime"
"","115","GET /products responde en < 500ms","Products API Tests","Thu Jun 18 03:12:12 UTC 2026","passed","Thu Jun 18 03:12:12 UTC 2026","com.alan.qa.tests.PerformanceTests","API Tests","com.alan.qa.tests.PerformanceTests","testGetProductsResponseTime"
"","115","Stock negativo rechazado","Products API Tests","Thu Jun 18 03:12:09 UTC 2026","passed","Thu Jun 18 03:12:09 UTC 2026","com.alan.qa.tests.ValidationTests","API Tests","com.alan.qa.tests.ValidationTests","testCreateProductWithNegativeStock"
"","128","Crear producto sin titulo (debe fallar)","Products API Tests","Thu Jun 18 03:12:10 UTC 2026","passed","Thu Jun 18 03:12:10 UTC 2026","com.alan.qa.tests.ValidationTests","API Tests","com.alan.qa.tests.ValidationTests","testCreateProductWithoutTitle"
"Obtener lista completa de todos los productos disponibles","223","Obtener todos los productos","Products API Tests","Thu Jun 18 03:12:06 UTC 2026","passed","Thu Jun 18 03:12:06 UTC 2026","com.alan.qa.tests.ProductTests","API Tests","com.alan.qa.tests.ProductTests","testGetAllProducts"
"","1218","GET /products/1 responde consistentemente","Products API Tests","Thu Jun 18 03:12:11 UTC 2026","passed","Thu Jun 18 03:12:12 UTC 2026","com.alan.qa.tests.PerformanceTests","API Tests","com.alan.qa.tests.PerformanceTests","testConsistentResponseTimes"
"","255","Actualizar precio a negativo (debe fallar)","Products API Tests","Thu Jun 18 03:12:10 UTC 2026","passed","Thu Jun 18 03:12:10 UTC 2026","com.alan.qa.tests.ValidationTests","API Tests","com.alan.qa.tests.ValidationTests","testUpdateProductToNegativePrice"
"","120","Crear producto sin price (debe fallar)","Products API Tests","Thu Jun 18 03:12:10 UTC 2026","passed","Thu Jun 18 03:12:10 UTC 2026","com.alan.qa.tests.ValidationTests","API Tests","com.alan.qa.tests.ValidationTests","testCreateProductWithoutPrice"
